inputs,instructions,outputs
Please extract the aspect terms in the review:,"Se você tem um orçamento um pouco apertado mas não quer abrir mão de um quarto de bom gosto, este hotel é uma boa pedida.",Ningún aspecto
Please extract the aspect terms in the review:,Room Tip: Quartos amplos e novos.,Ningún aspecto
Please extract the aspect terms in the review:,Fique atendo para não receber duas camas queen ao invés de uma king.,Ningún aspecto
Please extract the aspect terms in the review:,"Bom atendimento, excelente localização, pois é ao lado do centro e, convenientemente, afastado da muvuca.",atendimento [ssep] localização
Please extract the aspect terms in the review:,"Não tem serviço de quarto, mas tem no terreo uma daquelas maquinas que vende desde chocolate a suco, passando por biscoitos etc.",serviço de quarto
Please extract the aspect terms in the review:,"Franco e Direto: Não é um hotel de luxo, na verdade faz parte dos chamados hoteis familiares de Paris.",Ningún aspecto
Please extract the aspect terms in the review:,É um local para dormir.,Ningún aspecto
Please extract the aspect terms in the review:,"Mas, no meu caso, resolveu.",Ningún aspecto
Please extract the aspect terms in the review:,"Em 10 minutos de metro vc está no louvre, em 15 na Torre Eiffel.",Ningún aspecto
Please extract the aspect terms in the review:,"E, principal, era limpo.",Ningún aspecto
Please extract the aspect terms in the review:,É isso.,Ningún aspecto
Please extract the aspect terms in the review:,"Àparte esta situação, recomendamos este hotel.",hotel
Please extract the aspect terms in the review:,"O atendimento é muito bom, bem como a nível de informações e limpeza.",atendimento [ssep] limpeza
Please extract the aspect terms in the review:,"A nível de pequeno almoço também o consideramos muito bom, tendo bastante variedade de escolha.",almoço
Please extract the aspect terms in the review:,"É necessário verificarem as sanitas, pois um dos quartos tinha uma sanita cujo rebordo magoava sendo passível de causar ferimentos.",Ningún aspecto
Please extract the aspect terms in the review:,Os quartos são grandes e muito bem equipados.,Ningún aspecto
Please extract the aspect terms in the review:,"O café da manhã não tem nada de especial, alguns donuts, bagel, manteiga e geleia, suco de laranja e café.",café da manhã
Please extract the aspect terms in the review:,Mas vale a pena considerando que muitos hotéis de mesmo preço não oferecem o café da manhã.,preço
Please extract the aspect terms in the review:,A localização também é muito boa.,localização
Please extract the aspect terms in the review:,"O hotel é bem simples, mas o custo benefício compensa.",Ningún aspecto
Please extract the aspect terms in the review:,Perto ara andar apé para os principais pontos turísticos e perto de estações de metrô.,Ningún aspecto
Please extract the aspect terms in the review:,Adorei o hotel.,hotel
Please extract the aspect terms in the review:,Excelente localização com ótimos restaurantes e estação de metrô bem pertinho.,localização
Please extract the aspect terms in the review:,"Atendimento cordial, simpático, com pessoas que se dispõem a ajudar.",atendimento
Please extract the aspect terms in the review:,Com certeza me hospedarei nesse hotel quando for a Nova York novamente!,Ningún aspecto
Please extract the aspect terms in the review:,"Ah, não deixe de visitar o terraço, a vista é linda!",Ningún aspecto
Please extract the aspect terms in the review:,Genilda e Bia - Brasil,Ningún aspecto
Please extract the aspect terms in the review:,"Realmente essa foi uma ótima surpresa , o hotel é muito bom , muito bem localizado , perto da estação de metrô e da estação de trem, dá pra ir e voltar para o aeroporto de term .",hotel
Please extract the aspect terms in the review:,"O café da manhã tb é muito bom , o atendemento do pessoal tb , quero voltar a Paris e ficar lá novamente.",café da manhã
Please extract the aspect terms in the review:,"Fica perto da praça da bastilha e o que mais gostei é que a região é bem tranquila , tem mercado na frente que dá pra fazer um lanche e comprar alguma coisa que vc precise .",Ningún aspecto
Please extract the aspect terms in the review:,"Hotel muito bem localizado, próximo das melhores atrações de Nova York, além de estações de metro a poucos passos.",hotel
Please extract the aspect terms in the review:,"O hotel oferece café, leite, chás e deliciosos muffins no café da manhã, um diferencial para quem quer sair cedo sem se preocupar com o café.",café da manhã
Please extract the aspect terms in the review:,As toalhas e lençóis estavam sempre limpos.,toalha
Please extract the aspect terms in the review:,"É um hotel com localização excelente, a menos de 1 quadra do metro e do RER, e há 2 quadras do Sena.",hotel [ssep] localização
Please extract the aspect terms in the review:,"O quarto é pequeno, mas novo, tem internet wireless grátis, bule elétrico e sachês de café e chás.",quarto [ssep] internet
Please extract the aspect terms in the review:,"Oferece um café da manhã muito bom, e também um lanche no fim do dia, o que garante uma grande economia em Paris!",café da manhã
Please extract the aspect terms in the review:,Otimo serviço com boa limpeza e café da manhä farto (com ovos e frios pagos a parte).,serviço [ssep] limpeza
Please extract the aspect terms in the review:,O atendimento e cordialidade da recepçao é um capitulo a parte.,atendimento
Please extract the aspect terms in the review:,Precisei de uma noite extra e com muita atençao o atendente (que infelizmente nao sei o nome) conseguiu um quarto apesar do hotel estar lotado!,Ningún aspecto
Please extract the aspect terms in the review:,O unico ponto fraco e que algum quarto estava com um fumante e a fumaça ia para meu quarto pelo ar condicionado,Ningún aspecto
Please extract the aspect terms in the review:,Ficamos em um quarto quadruplo que tinha bastante mofo na parede.,quarto
Please extract the aspect terms in the review:,"Não tem tv a cabo, é um hotel bem antigo.",tv [ssep] hotel
Please extract the aspect terms in the review:,"O café da manhã é bom, bem variado.",café da manhã
Please extract the aspect terms in the review:,"A portaria do hotel é muito limpa, bonita e organizada, já o restante do hotel não acompanha este padrão.",padrão
Please extract the aspect terms in the review:,Se for apenas pra dormir quebra o galho em função do preço baixo.,preço
Please extract the aspect terms in the review:,"Não indico para hospedagem de famílias, principalmente com crianças pequenas em função da higiene dos quartos.",família
Please extract the aspect terms in the review:,Roupas de cama bem usadas.,Ningún aspecto
Please extract the aspect terms in the review:,"A porta do box do banheiro não fechava em função da privada que fica no caminho, ou seja, o banho tem que ser tomado com a porta do box entreaberta.",Ningún aspecto
Please extract the aspect terms in the review:,"A janela do banheiro não fecha totalmente, o que deve ser um grande problema em dias de muito frio.",Ningún aspecto
Please extract the aspect terms in the review:,"O quarto e maravilhoso, e todo o hotel e muito bem decorado, mostrando um pouco de Paris em todos os comodos.",quarto [ssep] hotel
Please extract the aspect terms in the review:,"O atendimento e impecavel, assim como o servico de quarto!",atendimento
Please extract the aspect terms in the review:,Latour Maubourg e incrivelmente aconchegante!,Ningún aspecto
Please extract the aspect terms in the review:,O cafe da manha e maravilhoso e toda essa atmosfera ajudou a deixar minha Lua de Mel realmente inesquecivel!,Ningún aspecto
Please extract the aspect terms in the review:,Agradeco a toda a equipe desse hotel singular!,Ningún aspecto
Please extract the aspect terms in the review:,"Quartos , serviços e pessoal de primeira qualidaade e profissionalismo.",quarto [ssep] serviço
Please extract the aspect terms in the review:,Recomendo para todoas as pessoas de bom gosto e exigentes com todos os serviços que um hotel pode lhe fornecer.,hotel
Please extract the aspect terms in the review:,Desde o bell boy ao diretor-geral.,Ningún aspecto
Please extract the aspect terms in the review:,"Uma menção especial para a Srta. Monica Reis competentíssima profissional, sempre presente para atender em todas as solicitações.",Ningún aspecto
Please extract the aspect terms in the review:,"Reservas iguais resultam em quartos com camas de solteiros ou de casal, vai na sorte...",quarto [ssep] casal
Please extract the aspect terms in the review:,"Cama cheia de asas de cupins, dificuldade na recepção de confirmar uma reserva feita há meses (e confirmada por telefone uma semana antes), confusão nos valores combinados...",recepção [ssep] telefone
Please extract the aspect terms in the review:,Procurarei outro lugar quando voltar na cidade.,cidade
Please extract the aspect terms in the review:,"Muita desorganização, infelizmente.",Ningún aspecto
Please extract the aspect terms in the review:,"O atendimento é razoável, achei a estrutura um pouco ruim (as fotos do site enganam) e o ar condicionado quente não funcionava.",atendimento
Please extract the aspect terms in the review:,"Quanta ao serviço de lavanderia, achei meio desorganizado, pegaram minha toalha por engano para lavar, alegaram não ter como encontrá-la e me ofereceram uma do hotel...",serviço [ssep] lavanderia [ssep] toalha [ssep] hotel
Please extract the aspect terms in the review:,"Pontos positivos: bem localizado, ótimo café da manhã, água quente no chuveiro (na pia, não), wi-fi no quarto e dava pra usar o telefone pra pedir delivery, sem pagar uma taxa muito cara.",café da manhã [ssep] chuveiro [ssep] pia [ssep] quarto [ssep] telefone
Please extract the aspect terms in the review:,"Hotel com ótima localização, perto de vários restaurantes e perto do centro.",hotel [ssep] localização
Please extract the aspect terms in the review:,Café da manhã razoável.,café da manhã
Please extract the aspect terms in the review:,"Quarto bem aconchegante, só o banheiro é bem simples mas da pro gasto,fiaria de novo pelo custo/beneficio.",quarto
Please extract the aspect terms in the review:,Tem elevador.,elevador
Please extract the aspect terms in the review:,"Os quartos são pequenos, mas limpos, e muitos não têm ducha, apenas um lavabo.",quarto [ssep] ducha
Please extract the aspect terms in the review:,"Mas tem boa relação custo-benefício e excelente localização, na região dos Grandes Magazines, a poucos metros da Estação Saint Lazare, da Galleries Lafayette, de resutaurantes, supermercados, e apoucas quadras da Madeleine e da Place de la Concorde.",custo-benefício [ssep] localização
Please extract the aspect terms in the review:,"O Hotel Bellevue é muito antigo, tem um ar decadente.",Ningún aspecto
Please extract the aspect terms in the review:,"O hotel é muito bem localizado, com duas estações de metrô (Bastille e Breguet- Sabin) por perto, além de lavanderia, supernercado, bares e restaurantes por perto.",hotel
Please extract the aspect terms in the review:,"Os quartos são pequenos, mas confortáveis o suficiente para um casal sem filhos.",casal
Please extract the aspect terms in the review:,A limpeza é ótima e tem wi-fi gratuito para os hóspedes (consegui usar o skype).,limpeza
Please extract the aspect terms in the review:,Os funcionários são atenciosos e falam inglês.,funcionários
Please extract the aspect terms in the review:,O café da manhã é farto e muito bom!,café da manhã
Please extract the aspect terms in the review:,Recomendo bastante o hotel!,Ningún aspecto
Please extract the aspect terms in the review:,"Pessoal da Recepção, Gerência, Manutenção todos muito atenciosos e cordiais.",recepção [ssep] gerência
Please extract the aspect terms in the review:,Excelente apartamento família.,apartamento
Please extract the aspect terms in the review:,"Excelente localização, de fácil acesso a todos os pontos de Paris.",localização
Please extract the aspect terms in the review:,Aquecimento eficiente (pegamos inverno de -3ºC).,aquecimento
Please extract the aspect terms in the review:,Metrô e RER a 20 ou 50 metros do hotel.,Ningún aspecto
Please extract the aspect terms in the review:,Para ir à EuroDisney RER direto sem baldeação.,Ningún aspecto
Please extract the aspect terms in the review:,"Les Halles tem muitos bistrôs, padarias, supermercados.",Ningún aspecto
Please extract the aspect terms in the review:,"No entanto, façam suas reservas com antecedência, pois em cima da hora os valores aumentam significativamente.",Ningún aspecto
Please extract the aspect terms in the review:,"O Hotel Nadaud fica num bairro extremamente tranquilo, ao lado do metrô Gambetta e muito próximo do famoso cemitério Père Lachaise.",hotel
Please extract the aspect terms in the review:,"Os quartos são simples porém, limpos e confortáveis.",quarto
Please extract the aspect terms in the review:,"Os atendentes são atenciosos, educados, simpáticos e ajudam em tudo.",Ningún aspecto
Please extract the aspect terms in the review:,Dão até dicas de passeios e sugestões de itinerários.,Ningún aspecto
Please extract the aspect terms in the review:,Eu sinto saudades desse lugar!,Ningún aspecto
Please extract the aspect terms in the review:,"Room Tip: O hotel está muito bem localizado, perto de tudo!",Ningún aspecto
Please extract the aspect terms in the review:,"O hotel fica bem localizado, perto do metro e de ótimos restaurantes.",hotel
Please extract the aspect terms in the review:,"O quarto era espaçoso, silencioso e com o chuveiro separado do banheiro, o que foi bom para um quarto quádruplo.",chuveiro
Please extract the aspect terms in the review:,"Como pedimos um quarto nos fundos, nao havia elevador ate o segundo andar onde estávamos.",Ningún aspecto
Please extract the aspect terms in the review:,Os atendentes (a maioria) foram bem prestativos.,Ningún aspecto
Please extract the aspect terms in the review:,"Nao tomamos café no hotel, preferimos sair e experimentar os cafés ao redor de Pigalle.",Ningún aspecto
Please extract the aspect terms in the review:,Esse hotel vale pela sua localização.,hotel [ssep] localização
Please extract the aspect terms in the review:,Oferece quarto padrão e internet grátis somente na recepção.,quarto [ssep] padrão [ssep] recepção
Please extract the aspect terms in the review:,Outra dica importante é de que não deve-se mexer no frigobar a não ser que vá consumir (há cobrança com a manipulação),frigobar
Please extract the aspect terms in the review:,Voltamos ao hotel as 15horas e nosso quarto ainda estava desarrumado.,Ningún aspecto
Please extract the aspect terms in the review:,"Ao questionar na recepção, fomos informados que o hotel por ser muito grande, tem um período maio de arrumação.",Ningún aspecto
Please extract the aspect terms in the review:,O check in do hotel mais parece fila de aeroporto em véspera de feriado.,aeroporto
Please extract the aspect terms in the review:,O serviço também deixou a desejar - a reserva feita via hotels.com foi inclusive desprezada (o hotel fez a cobrança integral no cartão de crédito e o tal do café da manhã incluído era algum devaneio de César!!!).,serviço
Please extract the aspect terms in the review:,"Enfim, para quem for conhecer Las Vegas a dica é se hospedar no Staybrigde Suites, que oferece preço justo, bom café da manhã, quartos superconfortáveis e pessoal preparado.",Ningún aspecto
Please extract the aspect terms in the review:,"O grande ponto positivo é a localização, a duas quadras da champ elyses e com vários pontos turísticos (arco, louvre, oarques) podendo ser visitados a pé.",localização
Please extract the aspect terms in the review:,"Os demais serviços (quarto, recepção, internet e café da manhã) não passam de razoáveis.",quarto
Please extract the aspect terms in the review:,Uma boa escolha se você vai passar a maior parte do tempo na rua.,Ningún aspecto
Please extract the aspect terms in the review:,"O hotel tem quartos limpos, embora pequenos ( como tantos outros em Paris).",hotel
Please extract the aspect terms in the review:,"A velocidade de conexão da internet, gratuita para os hóspedes, é boa e, ao contrário do senso comum, os atendentes são de uma forma geral bastante cordiais.",internet
Please extract the aspect terms in the review:,"O hotel é próximo de uma importante estação de metrô e há diversas opções de restaurante por perto, para quando se chegar de viagem e não quiser sair para muito longe.",Ningún aspecto
Please extract the aspect terms in the review:,Voltaria para esse hotel.,Ningún aspecto
Please extract the aspect terms in the review:,"O hotel é muito bem localizado, a uma quadra da Gare de Lyon, e 02 quadras do Carrefour.",hotel
Please extract the aspect terms in the review:,"O quarto, apesar de pequeno, é maior do que os outros hotés que havia pesquisado, e é bem confortável.",quarto
Please extract the aspect terms in the review:,"Internet grátis no hotel (voce se conecta por uma hora, mas pode renovar quantas vezes quiser).",internet
Please extract the aspect terms in the review:,"Fomos muito bem atendidos pelo pessoal da recepção, sempre muito prestativos.",recepção
Please extract the aspect terms in the review:,Idem para o banheiro.,Ningún aspecto
Please extract the aspect terms in the review:,Tudo muito limpo e sempre bem arrumado.,Ningún aspecto
Please extract the aspect terms in the review:,chao muito sujo do quarto e do banheiro.,quarto
Please extract the aspect terms in the review:,boa localizacao e bom atendimento.,atendimento
Please extract the aspect terms in the review:,"hotel com uma arquitetura peculiar, meio confiso de andar por dentro dele e ter acesso aos quartos.",hotel
Please extract the aspect terms in the review:,a internet estava com defeito e nao funcionou e os funcionarios nao sabiam falar espanhol.....nenhum deles!!! absurdo isso!!,internet
Please extract the aspect terms in the review:,quarto muito agradavel.,Ningún aspecto
Please extract the aspect terms in the review:,nao pude usufruir do cafe da manha.,Ningún aspecto
Please extract the aspect terms in the review:,"O hotel é muito bom, os atendentes são educadíssimos e quase todos falam inglês perfeitamente.",hotel
Please extract the aspect terms in the review:,"Mas o melhor do hotel, sem dúvida, é a localização: perto de tudo!!!",localização
Please extract the aspect terms in the review:,"Os quartos são razoavelmente espaçosos, considerando-se que estamos em Paris... o banheiro é ótimo, com banheira, inclusive.",quarto [ssep] banheira
Please extract the aspect terms in the review:,"Dá para ir a pé ao Louvre, Jardin des Tulleries, Jardin du Luxembourg, Îlle de la Cité, Îlle St Louis, caminhar a beira do Senna...",Ningún aspecto
Please extract the aspect terms in the review:,"Enfim, quero ficar sempre lá!!!",Ningún aspecto
Please extract the aspect terms in the review:,O hotel é para festa!!,hotel
Please extract the aspect terms in the review:,"Os quartos são temáticos, muito legais e amplos!",quarto
Please extract the aspect terms in the review:,"Se quiser sossego, não vá!",Ningún aspecto
Please extract the aspect terms in the review:,"O hotel segue a mesma linha, cheio de decoração de rock!",Ningún aspecto
Please extract the aspect terms in the review:,Muito legal mesmo!!,Ningún aspecto
Please extract the aspect terms in the review:,"Várias lanchonetes dentro do hotel, ponto positivo!",Ningún aspecto
Please extract the aspect terms in the review:,A academia tb é muito boa!,Ningún aspecto
Please extract the aspect terms in the review:,"Agora, minha dica é, quem puder aproveitar a pool party de domingo, Rehab, faça!!!",Ningún aspecto
Please extract the aspect terms in the review:,É definitivamente o melhor do hotel!!!!!,Ningún aspecto
Please extract the aspect terms in the review:,Apesar do frio intenso o hotel era muito acolhedor.,hotel
Please extract the aspect terms in the review:,"Serviços de primeira qualidade e funcionários excelentes, além de acomodações muito confortáveis.",serviço [ssep] funcionários
Please extract the aspect terms in the review:,"Localização excelente, perto da Broadway.",localização
Please extract the aspect terms in the review:,Room Tip: Prefira os quartos com vista para a praça,quarto
Please extract the aspect terms in the review:,Estive em Nova York em Jan/13 em férias com a minha familia.,Ningún aspecto
Please extract the aspect terms in the review:,"Limpeza, atendimento e localização são os principais atrativos.",limpeza [ssep] atendimento
Please extract the aspect terms in the review:,"Com design diferenciado, o hotel Verite é acolhedor, mesmo dentro de uma megalópole como Nova York.",hotel
Please extract the aspect terms in the review:,"A pé, podemos ir para o Sul até o marco zero ou ao Norte, até o Central Park.",Ningún aspecto
Please extract the aspect terms in the review:,é só ter disposição!,Ningún aspecto
Please extract the aspect terms in the review:,"Voltaria mais vezes, pois sei que fiz a escolha certa.",Ningún aspecto
Please extract the aspect terms in the review:,Padrão Ibis.,padrão
Please extract the aspect terms in the review:,A grande vantagem deste Hotel é que fica em frente a um shopping center com todas as vantagens para compras e alimentação.,hotel
Please extract the aspect terms in the review:,Perto da Estação de Metro somente 5 minutos a pé.,Ningún aspecto
Please extract the aspect terms in the review:,Tem também varias alternativas de fast-food nas proximidades e restaurantes.,Ningún aspecto
Please extract the aspect terms in the review:,Room Tip: Pedir apartamento em andar alto e de frente para a Av Italie,Ningún aspecto
Please extract the aspect terms in the review:,"Excelente localização, com lojas e restaurantes maravilhosos por perto e duas linhas de metro.",localização [ssep] lojas
Please extract the aspect terms in the review:,O café da manhã é bom.,café da manhã
Please extract the aspect terms in the review:,O preço era muito bom em comparação com outros hotéis do mesmo nível.,preço
Please extract the aspect terms in the review:,"Nosso quarto era confortável, com duas camas de solteiro colocadas lado a lado.",Ningún aspecto
Please extract the aspect terms in the review:,Faltava uma boa luz para leitura.,Ningún aspecto
Please extract the aspect terms in the review:,O WI FI no quarto era muito fraco e desligava com frequência.,Ningún aspecto
Please extract the aspect terms in the review:,Banheiro grande e confortável.,Ningún aspecto
Please extract the aspect terms in the review:,Gostámos da Localização.,localização
Please extract the aspect terms in the review:,"O Hotel apresenta alguns sinais de envelhecimento, nomeadamente de degradação de ombreiras e portas.",hotel
Please extract the aspect terms in the review:,A limpeza do apartamento para quem fica mais de 4 dias e menos de 8 dias não existe!,limpeza [ssep] apartamento
Please extract the aspect terms in the review:,Os funcionários foram prestáveis.,funcionários
Please extract the aspect terms in the review:,Nós ficamos 9 dias só foram ao apt no penúltimo dia e não foi uma arrumação como noutros hóteis.,Ningún aspecto
Please extract the aspect terms in the review:,"O Hotel fica em frente a rodoviária de Porto alegre, qualquer saidinha a noite fica impossível devido a proximidade da região central.",hotel [ssep] rodoviária
Please extract the aspect terms in the review:,"Como o hotel fica na região central, o transito em horários de pico é muito complicado, ficando difíciu a locomoção e o transporte.",horário
Please extract the aspect terms in the review:,Ideal para estadas rápidas viajando à negocios.,Ningún aspecto
Please extract the aspect terms in the review:,Adoramos o hotel!,hotel
Please extract the aspect terms in the review:,"Preço bom, café da manhã deliciosoooo, atendimento de primeiraaaa, quartos perfeitamente limpos, decoração impecavel, camas deliciosasss, localização fantastica com 2 estações de metro pertinho, monoprix na esquina, mercadinhos, restaurante italiano, padarias maravilhosas, AMEIIIIIII",preço [ssep] café da manhã [ssep] atendimento [ssep] quarto [ssep] cama [ssep] localização
Please extract the aspect terms in the review:,"Fizemos reserva com 15 dias de antecedência, chegamos na madruga e não havia a nossa reserva e o hotel sem vagas, e olhe que nos foi confirmado a vaga por email, o porteiro com educação ( única coisa que achamos legal, Sr José) nos indicou um hotel péssimo e muito inferior ao real, impossível de hospedar,onde tinha até pessoas dormindo na calçada em frente a portaria, além da bagunça na rua, retornamos no mesmo hotel (real) e nos foi indicado um novo hotel, só que não fomos ressarcidos da diferença de valor, somente da primeira estadia...",hotel [ssep] porteiro [ssep] rua
Please extract the aspect terms in the review:,Ficamos no prejuízo alem de termos passado por cansaço físico e insegurança já que estávamos em cidade desconhecida e era madrugada.,cidade
Please extract the aspect terms in the review:,"Pontos negativos: não limpam o quadro, não tem elevador, servem primeiro os americanos, a cozinha e velha e deixa a desejar na higiene.",cozinha
Please extract the aspect terms in the review:,"Ponto positivo: localização!!! Localização central, rua tranquila e próxima a diversos transportes.",rua
Please extract the aspect terms in the review:,They don´t clean the room.,Ningún aspecto
Please extract the aspect terms in the review:,"They don´t have lift, The blond women serve the men before the other guests.",Ningún aspecto
Please extract the aspect terms in the review:,"If you are alone whith your kids, you are in a bad situation.",Ningún aspecto
Please extract the aspect terms in the review:,The only good point is the location!,Ningún aspecto
Please extract the aspect terms in the review:,"Todos os funcionários que trabalham na Recepção, no Serviço de Quarto, no Bar e na Sala do Café da Manhã foram extremamente cordiais e atenciosos comigo e com minha mulher.",funcionários [ssep] recepção [ssep] serviço de quarto [ssep] café da manhã
Please extract the aspect terms in the review:,Sempre dispostos a entender e a atender nossas necessidades.,Ningún aspecto
Please extract the aspect terms in the review:,"Realmente, o tratamento que nos dispensaram contribuiu para nossa estada em Paris fosse maravilhosa!",Ningún aspecto
Please extract the aspect terms in the review:,Alceu Landi,Ningún aspecto
Please extract the aspect terms in the review:,"A localização é muito boa, próximo à Fauchon e diversas lojas de grife.",localização
Please extract the aspect terms in the review:,"Estive neste hotel duas vezes, se não me engano.",Ningún aspecto
Please extract the aspect terms in the review:,"Mesmo que não vamos às compras, é muito agradável caminhar até à Fauchon e tomar um lanche da tarde com o melhor Eclair que já experimentei em minha vida.",Ningún aspecto
Please extract the aspect terms in the review:,"Todas às vezes que fui, ficamos em um quarto muito espaçoso, tranquilamente caberia 2 ou 3 camas de solteiro.",Ningún aspecto
Please extract the aspect terms in the review:,Excelente custo/benefício.,Ningún aspecto
Please extract the aspect terms in the review:,Hotel muito bem localizado bem proximo ao metro.,hotel
Please extract the aspect terms in the review:,O Atendimento dos funcionários é impecável com vários funcionários sabendo falar várias linguas.,atendimento [ssep] funcionários
Please extract the aspect terms in the review:,E por fim a limpeza do hotel é impecável.,limpeza
Please extract the aspect terms in the review:,"Recepcão muito aconchegante com vários itens de pesquisas como mapas, jornais e revistas.",Ningún aspecto
Please extract the aspect terms in the review:,Não possui restaurante mas a copa possui todos os itens necessários.,Ningún aspecto
Please extract the aspect terms in the review:,O café expresso e chocolate quente é formidável.,Ningún aspecto
Please extract the aspect terms in the review:,"Os quartos são lindos, bem confortavel com decoração bem romântica e de muito bom gosto.",Ningún aspecto
Please extract the aspect terms in the review:,"A localização é muito boa, pertinho da estação do metrô e a maioria das atrações se pode fazer a pé.",localização
Please extract the aspect terms in the review:,"Ficamos num quarto duplex, um casal e dois filhos adultos.",Ningún aspecto
Please extract the aspect terms in the review:,"Porém, o chuveiro ficava em cima e o toalete em baixo e isso foi um inconveniente.",Ningún aspecto
Please extract the aspect terms in the review:,"O fato de não limparem o quarto nos três dias em que nos hospedamos também não foi legal, mas não podemos reclamar disso porque já sabíamos!",Ningún aspecto
Please extract the aspect terms in the review:,"O hotel apesar de ser simples,é muito bom,principalmente por sua licalização,fica próximo de vários pontos turisticos,pois se encontro na região historica da cidade,o que torna uma região com um ambiente bastanre agrádavel.",hotel [ssep] cidade
Please extract the aspect terms in the review:,"Os funcionários tambem nos recebem muito bem,ótima recepção!",funcionários [ssep] recepção
Please extract the aspect terms in the review:,"Excelente localização, fácil locomoção.",localização
Please extract the aspect terms in the review:,Hotel econômico e agradável.,hotel
Please extract the aspect terms in the review:,Room Tip: Prefira os apartamentos de fundos.,apartamento
Please extract the aspect terms in the review:,"Perto do Metro, ônibus, restaurantes, cafés e supermercados.",Ningún aspecto
Please extract the aspect terms in the review:,"Excelentes recepcionistas, bem informados e prestativos.",Ningún aspecto
Please extract the aspect terms in the review:,Recomendo a todos que não queiram gastar muito e serem bem atendidos.,Ningún aspecto
Please extract the aspect terms in the review:,"O quarto estava desarruamdo, mas fomos relocados.",quarto
Please extract the aspect terms in the review:,"Excelente serviço de limpeza, cafe da manhã com muita variedades, Quartos renovados, cafeteira, wi-fi com bom sinal, próximo a mercado, silencioso, cafe da manha ótimo por ser Europa, super limpo.",limpeza
Please extract the aspect terms in the review:,Cama confortável.,cama
Please extract the aspect terms in the review:,"Hospedei, , check-in rápido sem burocracia.",Ningún aspecto
Please extract the aspect terms in the review:,"o banheiro é muuuito velho, a torneira quando aberta fazia um barulho que mais parecia um trem chegando, papel de parede do quarto rasgado, o café da manhã bem mais ou menos, enquanto comíamos a mulher começou a resmungar, desligar o ar condicionado, televisão, e retirar a comida, uma falta de respeito, não recomendo.",torneira [ssep] quarto [ssep] café da manhã [ssep] televisão
Please extract the aspect terms in the review:,As fotos não condizem com o que eu encontrei lá.,Ningún aspecto
Please extract the aspect terms in the review:,"– Os preços da loja de conveniência são extremamente caros, um litro de água em supermercado custa 0,58E, no hotel uma garrafa de 700 ml custa 5E.",preço
Please extract the aspect terms in the review:,"- Muito bom, porém a cafeteira no quarto é um aparelho modernoso, mas deletério.",Ningún aspecto
Please extract the aspect terms in the review:,Conserva restos de cafés velhos.,Ningún aspecto
Please extract the aspect terms in the review:,"Não é falta de limpeza, é o tipo de máquina.",Ningún aspecto
Please extract the aspect terms in the review:,"– A reposição de lanches e refrigerantes fora de horários na loja de conveniência é fraca, a alternativa é trazer alimentos de fora.",Ningún aspecto
Please extract the aspect terms in the review:,"Hotel com dependenicas muito pequenas, quarto minúsculo.",hotel [ssep] quarto
Please extract the aspect terms in the review:,Tem a vantagem da localização em rua charmosa e muito proximo do Metro Place Rouge e a 20 minutos à pé da catedral Notre Dame.,localização [ssep] rua
Please extract the aspect terms in the review:,"O atendeimento foi muito cordial, inclusive com atendimento em espanhol o que nos ajudou muito.",atendimento
Please extract the aspect terms in the review:,São bastante simpáticos.,Ningún aspecto
Please extract the aspect terms in the review:,Valeu.,Ningún aspecto
Please extract the aspect terms in the review:,Atendimento não compromente.,atendimento
Please extract the aspect terms in the review:,"Quarto minúsculo, embora com cama boa e chuveiro quente.",quarto [ssep] cama [ssep] chuveiro
Please extract the aspect terms in the review:,"O local é sossegado e com alguma infraestrutura, mas acredito existirem opções melhores pelo mesmo preço.",preço
Please extract the aspect terms in the review:,"Para quem viaja só pode ser uma opção, para casal não.",casal
Please extract the aspect terms in the review:,"Um pouco distante do metrô, principalmente no frio.",Ningún aspecto
Please extract the aspect terms in the review:,"Banheiro minúsculo também, com porta abrindo para lado errado.",Ningún aspecto
Please extract the aspect terms in the review:,"O Hotel é muito velho, já passou há muito dos seus tempo de glória.",hotel
Please extract the aspect terms in the review:,A localização é bem estranha e há barulho o tempo todo.,localização
Please extract the aspect terms in the review:,"É o típico hotel de caixeiro viajante, não recomendado para famílias ou quem quer dormir num ambiente limpo e saudável.",família
Please extract the aspect terms in the review:,"O ambiente tenta ser limpo, mas não acompanha a movimentação do pessoal, aos péssimas condições de conservação e o baixo custo.",Ningún aspecto
Please extract the aspect terms in the review:,"Os quartos são pequenos, o local para guardar roupas é ruim, o café-da-manhã até que é bom, e não tem acesso wi-fi para os hóspedes.",quarto
Please extract the aspect terms in the review:,"Uma coisa boa é que fica no centro próximo a bares, hotéis, shoppings, e perto do aeroporto também a 10km de distância.",shopping [ssep] aeroporto
Please extract the aspect terms in the review:,"Eu, meu marido e um casal de amigos estivemos nesse hotel em maio/2011.",casal [ssep] hotel
Please extract the aspect terms in the review:,"A localização deixa um pouco a desejar, mas também não é das piores...isso não nos atrapalhou em nada!",localização
Please extract the aspect terms in the review:,"Mas deixei meu anel em cima da pia do banheiro e adivinhem...sumiu, claro!!",pia
Please extract the aspect terms in the review:,"Gostamos de tudo, sem dúvida é um hotel charmoso!",Ningún aspecto
Please extract the aspect terms in the review:,"Falei com a recepcionista, mas não houve solução.",Ningún aspecto
